timestep: 477000, actor_loss: -344.88665771484375, critic_loss: 71.51669311523438	
timestep: 480000, actor_loss: -341.5021667480469, critic_loss: 35.72734069824219	
timestep: 483000, actor_loss: -349.2859191894531, critic_loss: 33.482784271240234	
timestep: 486000, actor_loss: -347.4522705078125, critic_loss: 72.29423522949219	
timestep: 489000, actor_loss: -325.5151062011719, critic_loss: 118.28467559814453	
timestep: 492000, actor_loss: -338.3037109375, critic_loss: 33.07575988769531	
timestep: 495000, actor_loss: -339.6980285644531, critic_loss: 34.77098846435547	
timestep: 498000, actor_loss: -313.9046630859375, critic_loss: 50.03334045410156	
timestep: 501000, actor_loss: -335.94927978515625, critic_loss: 32.80193328857422	
timestep: 504000, actor_loss: -342.3746337890625, critic_loss: 32.23717498779297	
timestep: 507000, actor_loss: -333.6067199707031, critic_loss: 15.40900993347168	
timestep: 510000, actor_loss: -323.81292724609375, critic_loss: 29.153444290161133	
timestep: 513000, actor_loss: -331.98406982421875, critic_loss: 32.368377685546875	
timestep: 516000, actor_loss: -336.6378173828125, critic_loss: 1275.0361328125	
timestep: 519000, actor_loss: -325.76837158203125, critic_loss: 37.17817306518555	
timestep: 522000, actor_loss: -331.7291259765625, critic_loss: 37.21614074707031	
timestep: 525000, actor_loss: -323.6811828613281, critic_loss: 62.383506774902344	
timestep: 528000, actor_loss: -318.8533935546875, critic_loss: 28.928325653076172	
timestep: 531000, actor_loss: -338.5124816894531, critic_loss: 59.78117752075195	
timestep: 534000, actor_loss: -334.031494140625, critic_loss: 28.95404052734375	
timestep: 537000, actor_loss: -340.76751708984375, critic_loss: 28.451995849609375	
timestep: 540000, actor_loss: -344.72833251953125, critic_loss: 59.50830078125	
timestep: 543000, actor_loss: -342.60400390625, critic_loss: 37.07354736328125	
timestep: 546000, actor_loss: -341.8443298339844, critic_loss: 58.095947265625	
timestep: 549000, actor_loss: -340.87872314453125, critic_loss: 126.30659484863281	
timestep: 552000, actor_loss: -359.34478759765625, critic_loss: 121.94607543945312	
timestep: 555000, actor_loss: -367.3722229003906, critic_loss: 216.48892211914062	
timestep: 558000, actor_loss: -385.5049133300781, critic_loss: 44.14400863647461	
timestep: 561000, actor_loss: -379.942626953125, critic_loss: 105.62486267089844	
timestep: 564000, actor_loss: -404.04241943359375, critic_loss: 61.97031021118164	
timestep: 567000, actor_loss: -414.94256591796875, critic_loss: 46.07630920410156	
timestep: 570000, actor_loss: -414.68634033203125, critic_loss: 63.696258544921875	
timestep: 573000, actor_loss: -411.02178955078125, critic_loss: 80.39590454101562	
timestep: 576000, actor_loss: -402.96051025390625, critic_loss: 74.28889465332031	
timestep: 579000, actor_loss: -425.9806213378906, critic_loss: 96.56187438964844	
timestep: 582000, actor_loss: -423.13897705078125, critic_loss: 55.22002029418945	
timestep: 585000, actor_loss: -409.2451171875, critic_loss: 98.37451171875	
timestep: 588000, actor_loss: -401.4145812988281, critic_loss: 452.07440185546875	
timestep: 591000, actor_loss: -396.1729736328125, critic_loss: 56.370849609375	
timestep: 594000, actor_loss: -404.52301025390625, critic_loss: 27.539730072021484	
timestep: 597000, actor_loss: -398.55718994140625, critic_loss: 119.0923843383789	
timestep: 600000, actor_loss: -384.8372497558594, critic_loss: 120.8848876953125	
timestep: 603000, actor_loss: -399.67047119140625, critic_loss: 131.01022338867188	
timestep: 606000, actor_loss: -402.11968994140625, critic_loss: 86.14213562011719	
timestep: 609000, actor_loss: -358.4450378417969, critic_loss: 29.93416976928711	
timestep: 612000, actor_loss: -380.3493957519531, critic_loss: 45.678340911865234	
timestep: 615000, actor_loss: -371.9397888183594, critic_loss: 50.8812370300293	
timestep: 618000, actor_loss: -363.82110595703125, critic_loss: 64.67237854003906	
timestep: 621000, actor_loss: -353.75091552734375, critic_loss: 18.707653045654297	
timestep: 624000, actor_loss: -361.8060607910156, critic_loss: 189.6647491455078	
timestep: 627000, actor_loss: -354.4281921386719, critic_loss: 32.90260314941406	
