timestep: 170000, critic_loss: 25.93797492980957, actor_loss -207.9130096435547
timestep: 171000, critic_loss: 32.53180694580078, actor_loss -212.21603393554688
timestep: 172000, critic_loss: 14.782686233520508, actor_loss -207.19520568847656
timestep: 173000, critic_loss: 20.30565071105957, actor_loss -211.33798217773438
timestep: 174000, critic_loss: 24.785587310791016, actor_loss -205.97735595703125
timestep: 175000, critic_loss: 14.722211837768555, actor_loss -210.71945190429688
timestep: 176000, critic_loss: 19.911388397216797, actor_loss -208.1588897705078
timestep: 177000, critic_loss: 15.031880378723145, actor_loss -215.43508911132812
timestep: 178000, critic_loss: 25.12810516357422, actor_loss -208.13555908203125
timestep: 179000, critic_loss: 16.418033599853516, actor_loss -212.96421813964844
timestep: 180000, critic_loss: 9.745298385620117, actor_loss -217.0658721923828
timestep: 181000, critic_loss: 22.932022094726562, actor_loss -210.31414794921875
timestep: 182000, critic_loss: 20.446311950683594, actor_loss -211.28671264648438
timestep: 183000, critic_loss: 50.37701416015625, actor_loss -209.214599609375
timestep: 184000, critic_loss: 26.152647018432617, actor_loss -216.44613647460938
timestep: 185000, critic_loss: 15.0473051071167, actor_loss -214.50514221191406
timestep: 186000, critic_loss: 18.677488327026367, actor_loss -216.2604217529297
timestep: 187000, critic_loss: 24.191234588623047, actor_loss -211.99954223632812
timestep: 188000, critic_loss: 22.74466896057129, actor_loss -219.5904541015625
timestep: 189000, critic_loss: 22.203876495361328, actor_loss -213.09405517578125
timestep: 190000, critic_loss: 24.226062774658203, actor_loss -212.2591094970703
timestep: 191000, critic_loss: 35.74547576904297, actor_loss -216.8037109375
timestep: 192000, critic_loss: 26.08115005493164, actor_loss -215.43429565429688
timestep: 193000, critic_loss: 59.69393539428711, actor_loss -216.3568115234375
timestep: 194000, critic_loss: 24.961658477783203, actor_loss -212.6075439453125
timestep: 195000, critic_loss: 69.01008605957031, actor_loss -208.98004150390625
timestep: 196000, critic_loss: 16.05980110168457, actor_loss -211.05496215820312
timestep: 197000, critic_loss: 121.68122100830078, actor_loss -218.44403076171875
timestep: 198000, critic_loss: 17.566402435302734, actor_loss -221.92861938476562
timestep: 199000, critic_loss: 24.98584747314453, actor_loss -220.32652282714844
timestep: 200000, critic_loss: 13.746918678283691, actor_loss -218.845458984375
timestep: 201000, critic_loss: 17.684555053710938, actor_loss -220.40164184570312
timestep: 202000, critic_loss: 18.603145599365234, actor_loss -222.38711547851562
timestep: 203000, critic_loss: 23.319467544555664, actor_loss -223.3456573486328
timestep: 204000, critic_loss: 65.89384460449219, actor_loss -214.9344940185547
timestep: 205000, critic_loss: 21.23578643798828, actor_loss -221.13232421875
timestep: 206000, critic_loss: 22.29267120361328, actor_loss -216.2047119140625
timestep: 207000, critic_loss: 530.0113525390625, actor_loss -218.1815185546875
timestep: 208000, critic_loss: 25.56887435913086, actor_loss -219.89784240722656
timestep: 209000, critic_loss: 18.036052703857422, actor_loss -231.632568359375
timestep: 210000, critic_loss: 21.57244110107422, actor_loss -223.30665588378906
timestep: 211000, critic_loss: 34.256404876708984, actor_loss -227.15847778320312
timestep: 212000, critic_loss: 209.4965057373047, actor_loss -225.34107971191406
timestep: 213000, critic_loss: 63.958072662353516, actor_loss -231.10752868652344
timestep: 214000, critic_loss: 42.16331481933594, actor_loss -222.89920043945312
timestep: 215000, critic_loss: 16.473352432250977, actor_loss -223.55442810058594
timestep: 216000, critic_loss: 21.740001678466797, actor_loss -222.7215576171875
timestep: 217000, critic_loss: 59.270145416259766, actor_loss -232.5341796875
timestep: 218000, critic_loss: 26.456439971923828, actor_loss -229.05593872070312
timestep: 219000, critic_loss: 29.069250106811523, actor_loss -221.26373291015625
timestep: 220000, critic_loss: 9.259355545043945, actor_loss -228.5128173828125
timestep: 221000, critic_loss: 70.59288024902344, actor_loss -234.97634887695312
timestep: 222000, critic_loss: 17.591957092285156, actor_loss -232.32443237304688
timestep: 223000, critic_loss: 16.533287048339844, actor_loss -227.94837951660156
timestep: 224000, critic_loss: 27.797550201416016, actor_loss -230.80889892578125
timestep: 225000, critic_loss: 24.844783782958984, actor_loss -227.65902709960938
timestep: 226000, critic_loss: 45.50042724609375, actor_loss -233.20851135253906
timestep: 227000, critic_loss: 386.89984130859375, actor_loss -235.06887817382812
timestep: 228000, critic_loss: 29.340608596801758, actor_loss -231.66510009765625
timestep: 229000, critic_loss: 20.565410614013672, actor_loss -232.6533660888672
timestep: 230000, critic_loss: 19.731033325195312, actor_loss -237.912353515625
timestep: 231000, critic_loss: 22.956043243408203, actor_loss -227.60601806640625
timestep: 232000, critic_loss: 56.792945861816406, actor_loss -230.07701110839844
timestep: 233000, critic_loss: 15.454130172729492, actor_loss -233.51004028320312
timestep: 234000, critic_loss: 31.26409149169922, actor_loss -233.24859619140625
timestep: 235000, critic_loss: 30.968555450439453, actor_loss -228.82211303710938
timestep: 236000, critic_loss: 20.5002498626709, actor_loss -231.32479858398438
timestep: 237000, critic_loss: 22.428268432617188, actor_loss -235.43011474609375
timestep: 238000, critic_loss: 22.785686492919922, actor_loss -240.54409790039062
timestep: 239000, critic_loss: 16.769882202148438, actor_loss -236.66195678710938
timestep: 240000, critic_loss: 31.95062828063965, actor_loss -230.3929443359375
timestep: 241000, critic_loss: 24.093090057373047, actor_loss -232.55007934570312
timestep: 242000, critic_loss: 51.905357360839844, actor_loss -240.31787109375
timestep: 243000, critic_loss: 13.812018394470215, actor_loss -238.78448486328125
timestep: 244000, critic_loss: 27.87220001220703, actor_loss -234.37501525878906
timestep: 245000, critic_loss: 21.156322479248047, actor_loss -229.9191131591797
timestep: 246000, critic_loss: 608.71630859375, actor_loss -243.54278564453125
timestep: 247000, critic_loss: 15.034477233886719, actor_loss -234.85433959960938
timestep: 248000, critic_loss: 19.209238052368164, actor_loss -232.97499084472656
timestep: 249000, critic_loss: 15.496158599853516, actor_loss -234.22117614746094
timestep: 250000, critic_loss: 19.890140533447266, actor_loss -240.05130004882812
timestep: 251000, critic_loss: 21.86068344116211, actor_loss -237.71458435058594
timestep: 252000, critic_loss: 43.784820556640625, actor_loss -240.54522705078125
timestep: 253000, critic_loss: 33.805274963378906, actor_loss -239.08660888671875
timestep: 254000, critic_loss: 21.09308624267578, actor_loss -233.75132751464844
timestep: 255000, critic_loss: 40.69003677368164, actor_loss -234.90370178222656
timestep: 256000, critic_loss: 44.25482940673828, actor_loss -243.4229278564453
timestep: 257000, critic_loss: 13.773018836975098, actor_loss -238.92266845703125
timestep: 258000, critic_loss: 17.066925048828125, actor_loss -239.11312866210938
timestep: 259000, critic_loss: 16.758255004882812, actor_loss -242.5182342529297
timestep: 260000, critic_loss: 63.08826446533203, actor_loss -239.701171875
timestep: 261000, critic_loss: 14.47825813293457, actor_loss -243.25119018554688
timestep: 262000, critic_loss: 34.93806076049805, actor_loss -234.78372192382812
timestep: 263000, critic_loss: 15.07961654663086, actor_loss -232.71817016601562
timestep: 264000, critic_loss: 31.27465057373047, actor_loss -243.75991821289062
timestep: 265000, critic_loss: 49.470130920410156, actor_loss -240.44549560546875
timestep: 266000, critic_loss: 29.534603118896484, actor_loss -239.05763244628906
timestep: 267000, critic_loss: 82.97624206542969, actor_loss -237.70977783203125
timestep: 268000, critic_loss: 41.05113983154297, actor_loss -239.00491333007812
timestep: 269000, critic_loss: 13.212148666381836, actor_loss -240.18734741210938
timestep: 270000, critic_loss: 22.564674377441406, actor_loss -236.58084106445312
timestep: 271000, critic_loss: 11.463107109069824, actor_loss -237.8332977294922
timestep: 272000, critic_loss: 17.802064895629883, actor_loss -242.781494140625
timestep: 273000, critic_loss: 16.780126571655273, actor_loss -250.17269897460938
timestep: 274000, critic_loss: 16.829011917114258, actor_loss -243.778076171875
timestep: 275000, critic_loss: 17.45290756225586, actor_loss -233.0218505859375
timestep: 276000, critic_loss: 23.175376892089844, actor_loss -245.59188842773438
timestep: 277000, critic_loss: 13.068891525268555, actor_loss -242.49449157714844
timestep: 278000, critic_loss: 37.49827194213867, actor_loss -246.10275268554688
timestep: 279000, critic_loss: 24.77691078186035, actor_loss -246.9375457763672
timestep: 280000, critic_loss: 26.684566497802734, actor_loss -249.6168670654297
timestep: 281000, critic_loss: 17.13819694519043, actor_loss -246.04763793945312
timestep: 282000, critic_loss: 83.38850402832031, actor_loss -243.23867797851562
timestep: 283000, critic_loss: 21.470579147338867, actor_loss -242.37582397460938
timestep: 284000, critic_loss: 41.94468307495117, actor_loss -244.6617431640625
timestep: 285000, critic_loss: 16.040843963623047, actor_loss -240.78350830078125
timestep: 286000, critic_loss: 9.62643051147461, actor_loss -243.62814331054688
timestep: 287000, critic_loss: 11.4681396484375, actor_loss -247.16268920898438
timestep: 288000, critic_loss: 17.081226348876953, actor_loss -245.02188110351562
timestep: 289000, critic_loss: 32.16276550292969, actor_loss -241.27935791015625
timestep: 290000, critic_loss: 19.61210823059082, actor_loss -251.47976684570312
timestep: 291000, critic_loss: 26.459331512451172, actor_loss -248.9186553955078
timestep: 292000, critic_loss: 12.031503677368164, actor_loss -243.49191284179688
timestep: 293000, critic_loss: 40.204322814941406, actor_loss -251.1739044189453
timestep: 294000, critic_loss: 26.765092849731445, actor_loss -247.89688110351562
timestep: 295000, critic_loss: 21.102121353149414, actor_loss -253.4112548828125
timestep: 296000, critic_loss: 12.693681716918945, actor_loss -252.4598388671875
timestep: 297000, critic_loss: 27.992469787597656, actor_loss -250.32882690429688
timestep: 298000, critic_loss: 23.364290237426758, actor_loss -249.48052978515625
timestep: 299000, critic_loss: 14.928899765014648, actor_loss -252.3724822998047
timestep: 300000, critic_loss: 9.3231201171875, actor_loss -252.34075927734375
timestep: 301000, critic_loss: 21.177892684936523, actor_loss -251.0000457763672
timestep: 302000, critic_loss: 39.33248519897461, actor_loss -240.6849365234375
timestep: 303000, critic_loss: 16.77639389038086, actor_loss -247.5098876953125
timestep: 304000, critic_loss: 246.0667724609375, actor_loss -247.55117797851562
timestep: 305000, critic_loss: 106.98446655273438, actor_loss -251.0400390625
timestep: 306000, critic_loss: 20.74748420715332, actor_loss -265.24407958984375
timestep: 307000, critic_loss: 11.170223236083984, actor_loss -249.13272094726562
timestep: 308000, critic_loss: 15.13857650756836, actor_loss -252.8566436767578
timestep: 309000, critic_loss: 15.352612495422363, actor_loss -244.92286682128906
timestep: 310000, critic_loss: 15.04716682434082, actor_loss -247.37008666992188
timestep: 311000, critic_loss: 11.487302780151367, actor_loss -253.6917266845703
timestep: 312000, critic_loss: 30.97943115234375, actor_loss -249.67758178710938
timestep: 313000, critic_loss: 14.544583320617676, actor_loss -249.055908203125
timestep: 314000, critic_loss: 72.86695861816406, actor_loss -252.67066955566406
timestep: 315000, critic_loss: 24.435068130493164, actor_loss -248.1612548828125
timestep: 316000, critic_loss: 16.513761520385742, actor_loss -248.24110412597656
timestep: 317000, critic_loss: 18.449535369873047, actor_loss -255.78497314453125
timestep: 318000, critic_loss: 13.044645309448242, actor_loss -246.461669921875
timestep: 319000, critic_loss: 27.359272003173828, actor_loss -244.02891540527344
timestep: 320000, critic_loss: 29.70940589904785, actor_loss -250.57318115234375
timestep: 321000, critic_loss: 23.65530014038086, actor_loss -248.9935302734375
timestep: 322000, critic_loss: 15.205375671386719, actor_loss -257.1380310058594
timestep: 323000, critic_loss: 31.223220825195312, actor_loss -256.5599670410156
timestep: 324000, critic_loss: 35.76695251464844, actor_loss -254.90342712402344
timestep: 325000, critic_loss: 13.410674095153809, actor_loss -247.60299682617188
timestep: 326000, critic_loss: 16.24070167541504, actor_loss -251.25424194335938
timestep: 327000, critic_loss: 594.8616943359375, actor_loss -242.8519287109375
timestep: 328000, critic_loss: 17.959697723388672, actor_loss -257.3886413574219
timestep: 329000, critic_loss: 26.255998611450195, actor_loss -251.83114624023438
timestep: 330000, critic_loss: 9.112722396850586, actor_loss -267.70672607421875
timestep: 331000, critic_loss: 9.01059341430664, actor_loss -252.66598510742188
timestep: 332000, critic_loss: 84.60482788085938, actor_loss -260.26904296875
timestep: 333000, critic_loss: 37.716148376464844, actor_loss -253.17420959472656
timestep: 334000, critic_loss: 21.722965240478516, actor_loss -259.029052734375
timestep: 335000, critic_loss: 8.616418838500977, actor_loss -264.857421875
timestep: 336000, critic_loss: 10.91253662109375, actor_loss -252.5699920654297
timestep: 337000, critic_loss: 19.746341705322266, actor_loss -248.4896240234375
timestep: 338000, critic_loss: 37.419368743896484, actor_loss -260.8037109375
timestep: 339000, critic_loss: 225.9964141845703, actor_loss -259.55609130859375
timestep: 340000, critic_loss: 18.22026824951172, actor_loss -257.9813232421875
timestep: 341000, critic_loss: 19.057506561279297, actor_loss -263.905517578125
timestep: 342000, critic_loss: 15.278631210327148, actor_loss -249.75579833984375
timestep: 343000, critic_loss: 139.13064575195312, actor_loss -254.5518798828125
timestep: 344000, critic_loss: 21.896345138549805, actor_loss -259.99468994140625
timestep: 345000, critic_loss: 16.32471466064453, actor_loss -259.9515075683594
timestep: 346000, critic_loss: 14.974878311157227, actor_loss -266.8690185546875
timestep: 347000, critic_loss: 85.13863372802734, actor_loss -257.0810546875
timestep: 348000, critic_loss: 18.45146942138672, actor_loss -254.17037963867188
timestep: 349000, critic_loss: 18.36918067932129, actor_loss -261.8206787109375
timestep: 350000, critic_loss: 87.30913543701172, actor_loss -261.16015625
timestep: 351000, critic_loss: 14.672445297241211, actor_loss -257.78961181640625
timestep: 352000, critic_loss: 58.45409393310547, actor_loss -255.86474609375
timestep: 353000, critic_loss: 13.62471866607666, actor_loss -260.0130310058594
