

 td3 _ seed: 0 

timestep: 315000, acc_reward: 1163.29
timestep: 316000, acc_reward: 950.33
timestep: 317000, acc_reward: 3457.16
timestep: 318000, acc_reward: 3490.93
timestep: 319000, acc_reward: 1862.34
timestep: 320000, acc_reward: 2343.67
timestep: 321000, acc_reward: 2807.71
timestep: 322000, acc_reward: 3120.88
timestep: 323000, acc_reward: 3380.70
timestep: 324000, acc_reward: 2671.10
timestep: 325000, acc_reward: 3305.52
timestep: 326000, acc_reward: 3527.47
timestep: 327000, acc_reward: 3431.54
timestep: 328000, acc_reward: 3532.84
timestep: 329000, acc_reward: 3249.93
timestep: 330000, acc_reward: 3475.55
timestep: 331000, acc_reward: 1413.44
timestep: 332000, acc_reward: 3240.62
timestep: 333000, acc_reward: 3427.77
timestep: 334000, acc_reward: 3446.47
timestep: 335000, acc_reward: 3392.28
timestep: 336000, acc_reward: 3471.58
timestep: 337000, acc_reward: 3497.50
timestep: 338000, acc_reward: 3461.72
timestep: 339000, acc_reward: 3465.84
timestep: 340000, acc_reward: 3417.28
timestep: 341000, acc_reward: 3457.79
timestep: 342000, acc_reward: 3391.76
timestep: 343000, acc_reward: 3472.22
timestep: 344000, acc_reward: 3522.40
timestep: 345000, acc_reward: 3521.58
timestep: 346000, acc_reward: 3460.17
timestep: 347000, acc_reward: 3420.31
timestep: 348000, acc_reward: 741.76
timestep: 349000, acc_reward: 3496.61
timestep: 350000, acc_reward: 3457.34
timestep: 351000, acc_reward: 3487.53
timestep: 352000, acc_reward: 3456.61
timestep: 353000, acc_reward: 3432.79
timestep: 354000, acc_reward: 3476.82
timestep: 355000, acc_reward: 3372.40
timestep: 356000, acc_reward: 3485.81
timestep: 357000, acc_reward: 3517.45
timestep: 358000, acc_reward: 3527.62
timestep: 359000, acc_reward: 3491.02
timestep: 360000, acc_reward: 3484.08
timestep: 361000, acc_reward: 3027.63
timestep: 362000, acc_reward: 3564.23
timestep: 363000, acc_reward: 3553.89
timestep: 364000, acc_reward: 3254.38
timestep: 365000, acc_reward: 3285.64
timestep: 366000, acc_reward: 3571.32
timestep: 367000, acc_reward: 3539.12
timestep: 368000, acc_reward: 3554.54
timestep: 369000, acc_reward: 3537.74
timestep: 370000, acc_reward: 3273.99
timestep: 371000, acc_reward: 3509.49
timestep: 372000, acc_reward: 3447.47
timestep: 373000, acc_reward: 3536.48
timestep: 374000, acc_reward: 3254.83
timestep: 375000, acc_reward: 2530.82
