timestep, acc_reward
199000, 235.89
200000, 242.40
201000, 234.85
202000, 218.38
203000, 229.65
204000, 232.11
205000, 235.23
206000, 242.39
207000, 234.61
208000, 242.78
209000, 233.90
210000, 154.46
211000, 238.74
212000, 203.55
213000, 240.38
214000, 209.78
215000, 232.24
216000, 229.77
217000, 232.02
218000, 222.02
219000, 61.60
220000, 202.37
221000, 99.19
222000, 234.69
223000, 187.41
224000, 205.70
225000, 41.25
226000, 236.80
227000, 238.18
228000, 221.22
229000, 229.32
230000, 222.43
231000, 237.08
232000, 228.29
233000, 221.57
234000, 232.95
235000, 233.69
236000, 215.22
237000, 217.31
238000, 227.62
239000, 249.00
240000, 244.93
241000, 240.68
242000, 244.10
243000, 240.54
244000, 232.11
245000, 236.60
246000, 241.90
247000, 209.64
248000, 238.25
249000, 186.33
250000, 220.39
251000, 243.93
252000, 238.66
253000, 166.86
254000, 241.21
255000, 248.79
256000, 236.56
257000, 237.46
258000, 218.94
259000, 228.66
260000, 219.36
261000, 233.70
262000, 229.75
263000, 231.43
264000, 227.41
265000, 232.62
266000, 201.00
267000, 228.68
268000, 238.02
269000, 235.07
270000, 240.93
271000, 232.62
272000, 238.78
273000, 205.29
274000, 225.80
275000, 151.04
276000, 212.07
277000, 219.71
278000, 214.21
279000, 193.49
280000, 156.44
281000, 179.12
282000, 31.22
283000, 109.86
284000, 181.80
285000, 217.39
286000, 222.39
287000, 109.74
288000, 227.81
289000, 203.02
290000, 222.88
291000, 225.19
292000, 229.22
293000, 220.78
294000, 231.73
295000, 195.30
296000, 210.37
297000, 212.69
298000, 217.26
299000, 222.86
300000, 230.43
301000, 231.78
302000, 229.56
303000, 240.60
304000, 237.84
305000, 234.96
306000, 235.54
307000, 243.88
308000, 231.25
309000, 230.76
310000, 233.80
311000, 233.14
312000, 193.04
313000, 243.59
314000, 241.43
315000, 240.48
316000, 152.48
317000, 233.35
318000, 215.42
319000, 219.78
320000, 231.02
321000, 237.17
322000, 233.55
323000, 239.93
324000, 237.61
325000, 239.58
326000, 240.63
327000, 247.00
328000, 227.65
329000, 233.08
330000, 228.08
331000, 224.35
332000, 229.06
333000, 232.83
334000, 227.81
335000, 235.89
336000, 236.62
337000, 233.11
338000, 7.70
339000, 227.06
340000, 203.76
341000, 207.85
342000, 177.43
343000, 193.19
344000, 169.02
345000, 181.79
346000, 200.50
347000, 199.69
348000, 205.53
349000, 205.90
350000, 198.25
351000, 197.79
352000, 195.87
353000, 208.65
354000, 226.80
355000, 226.39
356000, 214.79
357000, 220.95
358000, 216.63
359000, 204.81
360000, 224.23
361000, 177.72
362000, 137.39
363000, 218.57
364000, 225.40
365000, 232.10
366000, 241.02
367000, 223.58
368000, 237.82
369000, 232.31
370000, 235.31
371000, 245.53
372000, 246.60
373000, 216.60
374000, 236.25
375000, 239.67
376000, 242.73
377000, 242.40
378000, 234.65
379000, 230.92
380000, 244.57
381000, 235.55
382000, 240.24
383000, 241.11
384000, 234.46
385000, 234.28
386000, 229.11
387000, 240.14
388000, 100.39
389000, 230.44
390000, 240.84
391000, 205.54
392000, 195.69
393000, 228.59
394000, 232.31
395000, 222.38
396000, 231.03
397000, 212.72
398000, 235.20
399000, 243.08
400000, 231.20
401000, 224.02
402000, 233.27
403000, 220.44
404000, 210.74
405000, 222.66
406000, 237.28
407000, 221.52
408000, 239.78
409000, 238.05
410000, 230.77
411000, 216.77
412000, 240.51
413000, 230.83
414000, 219.72
415000, 222.14
416000, 218.48
417000, 226.28
418000, 235.80
419000, 221.73
420000, 210.87
421000, 236.96
422000, 229.20
423000, 213.68
424000, 221.77
425000, 224.24
426000, 229.21
427000, 210.17
428000, 234.46
429000, 213.53
430000, 225.11
431000, 227.95
432000, 38.58
433000, 220.48
434000, 214.00
435000, 69.63
436000, 188.24
437000, 210.56
438000, 195.16
439000, 219.93
440000, 221.17
441000, 225.93
442000, 225.81
443000, 224.64
444000, 227.30
445000, 226.45
446000, 231.83
447000, 221.28
448000, 237.97
449000, 228.76
450000, 217.83
451000, 234.89
452000, 221.73
453000, 95.42
454000, 218.64
455000, 183.24
456000, 221.51
457000, 211.13
458000, 198.28
459000, 58.01
460000, 228.68
461000, 155.34
462000, 225.74
463000, 173.33
464000, 204.94
465000, 194.25
466000, 195.61
467000, 193.82
468000, 197.65
